k 7  
p edge 64 704 
e 9 8 54
e 10 7 34
e 11 6 41
e 12 5 20
e 13 4 13
e 14 3 25
e 15 2 27
e 16 1 44
e 17 8 50
e 17 12 3
e 17 14 28
e 17 15 42
e 17 16 36
e 18 7 7
e 18 11 56
e 18 13 2
e 18 15 55
e 18 16 18
e 19 6 52
e 19 10 24
e 19 13 43
e 19 14 10
e 19 16 30
e 20 5 33
e 20 9 47
e 20 13 50
e 20 14 37
e 20 15 17
e 21 4 36
e 21 10 52
e 21 11 10
e 21 12 6
e 21 16 12
e 22 3 11
e 22 9 54
e 22 11 57
e 22 12 4
e 22 15 51
e 23 2 45
e 23 9 4
e 23 10 25
e 23 12 34
e 23 14 5
e 24 1 23
e 24 9 59
e 24 10 25
e 24 11 23
e 24 13 41
e 25 4 52
e 25 6 10
e 25 7 55
e 25 8 45
e 25 16 54
e 25 24 20
e 26 3 58
e 26 5 38
e 26 7 51
e 26 8 52
e 26 15 16
e 26 23 60
e 27 2 7
e 27 5 27
e 27 6 52
e 27 8 9
e 27 14 57
e 27 22 23
e 28 1 49
e 28 5 25
e 28 6 3
e 28 7 59
e 28 13 49
e 28 21 13
e 29 2 14
e 29 3 48
e 29 4 39
e 29 8 39
e 29 12 24
e 29 20 19
e 30 1 15
e 30 3 28
e 30 4 37
e 30 7 10
e 30 11 37
e 30 19 24
e 31 1 59
e 31 2 21
e 31 4 25
e 31 6 22
e 31 10 37
e 31 18 30
e 32 1 57
e 32 2 27
e 32 3 35
e 32 5 49
e 32 9 20
e 32 17 25
e 33 8 7
e 33 12 29
e 33 14 30
e 33 15 47
e 33 16 30
e 33 20 1
e 33 22 23
e 33 23 35
e 33 24 60
e 33 26 29
e 33 27 22
e 33 28 51
e 33 29 12
e 33 30 15
e 33 31 20
e 33 32 57
e 34 7 3
e 34 11 45
e 34 13 17
e 34 15 28
e 34 16 58
e 34 19 26
e 34 21 24
e 34 23 35
e 34 24 41
e 34 25 35
e 34 27 38
e 34 28 15
e 34 29 24
e 34 30 52
e 34 31 13
e 34 32 18
e 35 6 10
e 35 10 30
e 35 13 49
e 35 14 29
e 35 16 21
e 35 18 49
e 35 21 60
e 35 22 55
e 35 24 17
e 35 25 53
e 35 26 57
e 35 28 26
e 35 29 12
e 35 30 30
e 35 31 49
e 35 32 50
e 36 5 3
e 36 9 8
e 36 13 12
e 36 14 7
e 36 15 49
e 36 17 42
e 36 21 1
e 36 22 9
e 36 23 22
e 36 25 42
e 36 26 47
e 36 27 55
e 36 29 58
e 36 30 27
e 36 31 14
e 36 32 7
e 37 4 37
e 37 10 5
e 37 11 24
e 37 12 25
e 37 16 21
e 37 18 3
e 37 19 28
e 37 20 33
e 37 24 46
e 37 25 51
e 37 26 56
e 37 27 44
e 37 28 47
e 37 30 17
e 37 31 23
e 37 32 23
e 38 3 53
e 38 9 12
e 38 11 22
e 38 12 8
e 38 15 8
e 38 17 6
e 38 19 16
e 38 20 42
e 38 23 56
e 38 25 2
e 38 26 21
e 38 27 12
e 38 28 16
e 38 29 4
e 38 31 29
e 38 32 40
e 39 2 39
e 39 9 57
e 39 10 31
e 39 12 20
e 39 14 57
e 39 17 60
e 39 18 25
e 39 20 46
e 39 22 44
e 39 25 26
e 39 26 6
e 39 27 14
e 39 28 4
e 39 29 35
e 39 30 14
e 39 32 6
e 40 1 36
e 40 9 19
e 40 10 13
e 40 11 55
e 40 13 26
e 40 17 55
e 40 18 7
e 40 19 24
e 40 21 47
e 40 25 4
e 40 26 40
e 40 27 56
e 40 28 26
e 40 29 21
e 40 30 38
e 40 31 41
e 41 4 23
e 41 6 33
e 41 7 7
e 41 8 29
e 41 16 45
e 41 18 6
e 41 19 48
e 41 20 22
e 41 21 53
e 41 22 42
e 41 23 50
e 41 24 16
e 41 28 15
e 41 30 5
e 41 31 47
e 41 32 52
e 41 40 29
e 42 3 58
e 42 5 57
e 42 7 34
e 42 8 33
e 42 15 53
e 42 17 47
e 42 19 51
e 42 20 45
e 42 21 42
e 42 22 31
e 42 23 12
e 42 24 5
e 42 27 51
e 42 29 59
e 42 31 29
e 42 32 40
e 42 39 7
e 43 2 46
e 43 5 59
e 43 6 13
e 43 8 14
e 43 14 59
e 43 17 51
e 43 18 38
e 43 20 45
e 43 21 25
e 43 22 58
e 43 23 23
e 43 24 9
e 43 26 48
e 43 29 37
e 43 30 28
e 43 32 17
e 43 38 23
e 44 1 39
e 44 5 18
e 44 6 43
e 44 7 52
e 44 13 60
e 44 17 54
e 44 18 47
e 44 19 26
e 44 21 47
e 44 22 27
e 44 23 31
e 44 24 39
e 44 25 17
e 44 29 39
e 44 30 24
e 44 31 20
e 44 37 29
e 45 2 59
e 45 3 28
e 45 4 48
e 45 8 28
