k 15 
p edge 500 4459 
e 2 1 63
e 3 2 43
e 4 3 5
e 5 4 51
e 6 5 67
e 7 6 9
e 8 7 52
e 9 8 9
e 10 9 61
e 11 10 50
e 12 11 54
e 13 12 56
e 14 13 16
e 15 14 3
e 16 15 38
e 17 16 57
e 18 17 43
e 19 18 35
e 20 19 58
e 21 20 49
e 22 21 38
e 23 22 43
e 24 23 8
e 25 24 1
e 26 25 53
e 27 26 45
e 28 27 68
e 29 28 6
e 30 29 22
e 31 30 67
e 32 31 45
e 33 32 68
e 34 33 70
e 35 34 52
e 36 35 1
e 37 36 14
e 38 37 35
e 39 38 54
e 40 39 54
e 41 40 21
e 42 41 11
e 43 42 12
e 44 43 8
e 45 44 21
e 46 45 15
e 47 46 45
e 48 47 70
e 49 48 1
e 50 49 48
e 51 50 51
e 52 51 11
e 53 52 54
e 54 53 43
e 55 54 37
e 56 55 39
e 57 56 9
e 58 57 8
e 59 58 22
e 60 59 43
e 61 60 10
e 62 61 19
e 63 62 9
e 64 63 60
e 65 64 21
e 66 65 56
e 67 66 45
e 68 67 49
e 69 68 68
e 70 69 64
e 71 70 60
e 72 71 68
e 73 72 43
e 74 73 65
e 75 74 10
e 76 75 69
e 77 76 31
e 78 77 41
e 79 78 11
e 80 1 2
e 80 79 69
e 81 1 26
e 81 2 48
e 81 80 32
e 82 1 33
e 82 2 64
e 82 3 22
e 82 81 67
e 83 2 29
e 83 3 11
e 83 4 23
e 83 82 33
e 84 3 4
e 84 4 52
e 84 5 59
e 84 83 53
e 85 4 38
e 85 5 12
e 85 6 35
e 85 84 51
e 86 5 49
e 86 6 25
e 86 7 61
e 86 85 57
e 87 6 20
e 87 7 39
e 87 8 40
e 87 86 48
e 88 7 69
e 88 8 32
e 88 9 10
e 88 87 5
e 89 8 3
e 89 9 69
e 89 10 64
e 89 88 41
e 90 9 59
e 90 10 18
e 90 11 52
e 90 89 14
e 91 10 45
e 91 11 62
e 91 12 27
e 91 90 10
e 92 11 67
e 92 12 3
